DATAFLOW,FREQ,REF_AREA,MEASURE,ACTIVITY,SIZE_CLASS,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,DECIMALS
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,GITG,H4921,S_GE250,XDC,2011,2027828,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,GITG,H4923,S_GE250,XDC,2011,287557,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,GITG,H4923,S_GE10,XDC,2011,638545,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,GITG,H492,S20T49,XDC,2011,415116,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,GITG,H4921,S50T249,XDC,2011,289255,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,GITG,H492,S50T249,XDC,2011,777303,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,GITG,H4923,S10T49,XDC,2011,191972,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,GITG,H492,S_GE10,XDC,2011,3646435,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,GITG,H4922,S10T19,XDC,2011,66932,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,GITG,H492,S1T9,XDC,2011,578362,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,GITG,H4922,S_GE10,XDC,2011,657945,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,GITG,H4921,S1T9,XDC,2011,2078,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,GITG,H4921,S10T49,XDC,2011,32861,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,GITG,H4922,_T,XDC,2011,902157,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,GITG,H492,_T,XDC,2011,4224797,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,VAPE,H4923,S10T19,XDC,2011,39.4695587158203,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,VAPE,H492,S10T19,XDC,2011,32.862247467041,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,VAPE,H492,S10T49,XDC,2011,32.8865432739258,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,VAPE,H4922,S10T49,XDC,2011,22.1725521087647,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,VAPE,H4923,S1T9,XDC,2011,20.8683013916016,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,VAPE,H4921,S1T9,XDC,2011,10.8693332672119,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,VAPE,H4922,S1T9,XDC,2011,19.8223323822022,A,6,1
