tech,country,year,coef,value,unit,provenance
TRN.P+TRN.F,CL,Y21,intensity_electricity,0.3749,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,CL,Y21,intensity_liquid,0.3978,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
AIR.DOM,CL,Y21,fuel_envelope,15216.7,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,CL,Y22,intensity_electricity,0.3703,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,CL,Y22,intensity_liquid,0.4165,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
AIR.DOM,CL,Y22,fuel_envelope,20987.2,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,CL,Y23,intensity_electricity,0.4538,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,CL,Y23,intensity_liquid,0.4147,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
AIR.DOM,CL,Y23,fuel_envelope,23324.4,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,CM,Y21,fuel_envelope,30.7,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,CM,Y22,fuel_envelope,28.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,CM,Y23,fuel_envelope,13.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,CN,Y21,intensity_electricity,0.0933,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,CN,Y21,intensity_liquid,0.0309,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,CN,Y21,intensity_liquid,0.1168,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
PIPE.T,CN,Y21,intensity_total,0.0555,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
AIR.DOM,CN,Y21,fuel_envelope,1485935.4,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,CN,Y22,intensity_electricity,0.0962,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,CN,Y22,intensity_liquid,0.0335,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,CN,Y22,intensity_liquid,0.1122,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
PIPE.T,CN,Y22,intensity_total,0.0526,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
AIR.DOM,CN,Y22,fuel_envelope,845665.5,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,CN,Y23,intensity_electricity,0.0912,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,CN,Y23,intensity_liquid,0.0295,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,CN,Y23,intensity_liquid,0.1045,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
PIPE.T,CN,Y23,intensity_total,0.0437,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
AIR.DOM,CN,Y23,fuel_envelope,1529069.6,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,CO,Y21,fuel_envelope,16709.9,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,CO,Y22,fuel_envelope,27106.6,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,CO,Y23,fuel_envelope,21873.9,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,CR,Y21,fuel_envelope,227.8,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,CR,Y22,fuel_envelope,316.7,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,CR,Y23,fuel_envelope,475.0,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,CV,Y21,fuel_envelope,112.9,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,CV,Y22,fuel_envelope,181.7,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,CV,Y23,fuel_envelope,485.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,CY,Y21,fuel_envelope,66.9,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,CY,Y22,fuel_envelope,129.2,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,CY,Y23,fuel_envelope,116.3,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,CZ,Y21,intensity_electricity,0.2437,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,CZ,Y21,intensity_liquid,0.1338,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,CZ,Y21,intensity_liquid,7.7776,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
PIPE.T,CZ,Y21,intensity_total,0.6151,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
AIR.DOM,CZ,Y21,fuel_envelope,176.4,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,CZ,Y22,intensity_electricity,0.2244,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,CZ,Y22,intensity_liquid,0.1296,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,CZ,Y22,intensity_liquid,6.3103,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
PIPE.T,CZ,Y22,intensity_total,0.3227,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
AIR.DOM,CZ,Y22,fuel_envelope,176.4,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,CZ,Y23,intensity_electricity,0.2314,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,CZ,Y23,intensity_liquid,0.1247,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,CZ,Y23,intensity_liquid,9.4433,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
PIPE.T,CZ,Y23,intensity_total,0.0967,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
AIR.DOM,CZ,Y23,fuel_envelope,176.4,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,DE,Y21,intensity_electricity,0.2082,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,DE,Y21,intensity_liquid,0.0877,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,DE,Y21,intensity_liquid,0.3195,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
PIPE.T,DE,Y21,intensity_total,1.1299,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
