region,sector,extracted_t,cell_share,weight
WE,Manufacture of beverages,24508.0,0.12,0.8
WE,Sugar refining,18452.0,0.12,0.8
WE,"Sale, maintenance, repair of motor vehicles, motor vehi",15548.0,0.15,1.0
WE,"Manufacture of cement, lime and plaster",15098.0,0.075,0.5
WE,Processing of Food products nec,14133.0,0.12,0.8
WF,"Wholesale trade and commission trade, except of motor v",430274.0,0.177,1.0
WF,"Retail trade, except of motor vehicles and motorcycles;",294098.0,0.177,1.0
WF,Construction (45),220640.0,0.106,0.6
WF,"Sale, maintenance, repair of motor vehicles, motor vehi",98665.0,0.177,1.0
WF,"Manure treatment (conventional), storage and land appli",59182.0,0.124,0.7
WF,Manufacture of beverages,50955.0,0.141,0.8
WF,"Manufacture of cement, lime and plaster",42281.0,0.088,0.5
WF,Recycling of waste and scrap,36233.0,0.124,0.7
WL,"Wholesale trade and commission trade, except of motor v",381239.0,0.208,1.0
WL,"Retail trade, except of motor vehicles and motorcycles;",274853.0,0.208,1.0
WL,Construction (45),219428.0,0.125,0.6
WL,Sugar refining,121879.0,0.167,0.8
WL,"Manufacture of cement, lime and plaster",91026.0,0.104,0.5
WL,Manufacture of beverages,85702.0,0.167,0.8
WL,Processing of Food products nec,75763.0,0.167,0.8
WL,"Sale, maintenance, repair of motor vehicles, motor vehi",73323.0,0.208,1.0
WM,"Wholesale trade and commission trade, except of motor v",625918.0,0.133,1.0
WM,"Retail trade, except of motor vehicles and motorcycles;",480086.0,0.133,1.0
WM,Construction (45),213403.0,0.08,0.6
WM,"Manufacture of cement, lime and plaster",202917.0,0.067,0.5
WM,"Sale, maintenance, repair of motor vehicles, motor vehi",163049.0,0.133,1.0
WM,Processing of Food products nec,27494.0,0.106,0.8
WM,Sugar refining,26842.0,0.106,0.8
WM,Manufacture of office machinery and computers (30),23585.0,0.04,0.3
ZA,"Wholesale trade and commission trade, except of motor v",125739.0,0.216,1.0
ZA,"Retail trade, except of motor vehicles and motorcycles;",90143.0,0.216,1.0
ZA,Construction (45),74649.0,0.13,0.6
ZA,"Sale, maintenance, repair of motor vehicles, motor vehi",22977.0,0.216,1.0
ZA,Re-processing of secondary wood material into new wood ,20500.0,0.151,0.7
ZA,Manufacture of glass and glass products,10445.0,0.108,0.5
ZA,Sugar refining,8559.0,0.173,0.8
ZA,Processing of Food products nec,6192.0,0.173,0.8
