region,activity,s_ele,u_need,net,residual
GB,Wind,364443.6408038792,11964.514737275327,11964.514737275327,352479.1260666039
GB,Nuclear,179750.19767821423,265.76113398639103,265.76113398639103,179484.43654422785
GR,Bioenergy,2823.5484262166347,0.0,0.0,2823.5484262166347
GR,"Biogasification of sewage slugde, incl. land application",475.0844390746369,2.9053332109921004,2.9053332109921004,472.1791058636448
GR,Coal,19793.53362516236,371.94090510926367,371.94090510926367,19421.592720053097
GR,Gas,68897.81368133544,0.0,0.0,68897.81368133544
GR,Hydro,16450.70919934498,822.535459967249,822.535459967249,15628.173739377731
GR,Incineration of waste: Oil/Hazardous waste,227.9496161779053,334.8976833866298,227.9496161779053,0.0
GR,Other Fossil,20404.2401095267,1020.2120049946916,1020.2120049946916,19384.028104532008
GR,Solar,38346.786099501,1917.3393049750496,1917.3393049750496,36429.446794525946
GR,Wind,47523.00049374768,2376.1500246873834,2376.1500246873834,45146.85046906029
HR,Bioenergy,2454.240107200698,10.084344124870109,10.084344124870109,2444.1557630758275
HR,"Biogasification of sewage slugde, incl. land application",16.55424743789924,0.0963595168726765,0.0963595168726765,16.45788792102656
HR,Coal,3107.8442332177397,108.70413262011058,108.70413262011058,2999.140100597629
HR,Gas,9062.27866435254,319.37029990638996,319.37029990638996,8742.90836444615
HR,Hydro,19137.913420746576,862.6019568758944,862.6019568758944,18275.311463870683
HR,Incineration of waste: Food,4.556476114835675,0.0,0.0,4.556476114835675
HR,Incineration of waste: Oil/Hazardous waste,11.815905826528146,0.0001695934774357,0.0001695934774357,11.81573623305071
HR,Incineration of waste: Paper,0.901331272599713,0.0,0.0,0.901331272599713
HR,Incineration of waste: Plastic,27.02572082644425,5.002848728305637,5.002848728305637,22.022872098138613
HR,Incineration of waste: Wood,33.112534447259215,0.0227136511271754,0.0227136511271754,33.08982079613204
HR,Other Fossil,87.00650547266686,3.0563581106861157,3.0563581106861157,83.95014736198074
HR,Other Renewables,48.31088983118429,0.0,0.0,48.31088983118429
HR,Solar,968.797504333118,0.0,0.0,968.797504333118
HR,Wind,6065.830900405737,214.0689943768988,214.0689943768988,5851.761906028839
HU,Bioenergy,4907.413801773504,160.31657024159125,160.31657024159125,4747.097231531913
HU,"Biogasification of sewage slugde, incl. land application",609.5769851314104,4.603459554473465,4.603459554473465,604.9735255769369
HU,Coal,7822.367396305211,391.11836981526056,391.11836981526056,7431.24902648995
HU,Gas,22839.555666949705,1141.9777833474852,1141.9777833474852,21697.577883602222
HU,Hydro,696.5766393821726,34.828831969108634,34.828831969108634,661.747807413064
HU,Incineration of waste: Food,417.9714193352241,257.1999916801495,257.1999916801495,160.7714276550746
HU,Incineration of waste: Oil/Hazardous waste,639.4433618288973,170.34791903432867,170.34791903432867,469.0954427945686
HU,Incineration of waste: Paper,443.0013915601624,122.64056664460765,122.64056664460765,320.36082491555476
HU,Incineration of waste: Plastic,284.40758880544485,31.34904984670142,31.34904984670142,253.05853895874344
HU,Incineration of waste: Textiles,94.30157640794611,24.03537534609328,24.03537534609328,70.26620106185284
HU,Incineration of waste: Wood,121.02630674572166,27.900985609725236,27.900985609725236,93.12532113599642
HU,Other Fossil,1514.96633414315,75.7483166924078,75.7483166924078,1439.2180174507423
HU,Other Renewables,50.203721757273705,0.0,0.0,50.203721757273705
HU,Solar,21728.798323070027,1086.4399161535014,1086.4399161535014,20642.358406916526
HU,Wind,2026.975265949926,359.35591712264124,359.35591712264124,1667.6193488272847
HU,Nuclear,49946.42768326766,1238.3131159988282,1238.3131159988282,48708.114567268836
ID,Bioenergy,15622.051202898296,0.0,0.0,15622.051202898296
ID,Coal,460170.31933288474,17363.875756071993,17363.875756071993,442806.44357681274
ID,Gas,100069.43635279137,1954.633495645339,1954.633495645339,98114.80285714603
ID,Hydro,43957.68841735543,0.0,0.0,43957.68841735543
ID,Other Fossil,21860.86098641072,824.8986159613162,824.8986159613162,21035.962370449404
ID,Other Renewables,30275.20988354338,0.0,0.0,30275.20988354338
ID,Solar,1149.210213617946,43.363772970366995,43.363772970366995,1105.8464406475791
ID,Wind,859.8474228852364,0.0,0.0,859.8474228852364
IE,Bioenergy,2583.825989780634,112.4204833391492,112.4204833391492,2471.4055064414847
IE,"Biogasification of sewage slugde, incl. land application",115.98191528881034,1.4629532169314208,1.4629532169314208,114.51896207187892
IE,Coal,3765.272808387492,0.0,0.0,3765.272808387492
IE,Gas,47738.140861733795,0.0,0.0,47738.140861733795
IE,Hydro,2931.8077396388926,0.0,0.0,2931.8077396388926
IE,Incineration of waste: Oil/Hazardous waste,228.53144932223387,118.7949107872928,118.7949107872928,109.73653853494106
IE,Incineration of waste: Paper,0.0392759391649198,0.0242775316621226,0.0242775316621226,0.014998407502797202
IE,Incineration of waste: Plastic,0.1026821952583312,0.0243059185131096,0.0243059185131096,0.0783762767452216
IE,Incineration of waste: Wood,0.3195326993088277,0.130213333556678,0.130213333556678,0.18931936575214972
IE,Other Fossil,2218.0497362923497,103.1404723496135,103.1404723496135,2114.9092639427363
IE,Solar,2010.4554868483233,0.0,0.0,2010.4554868483233
IE,Wind,36893.12482143824,1715.5735812756427,1715.5735812756427,35177.551240162604
IN,Bioenergy,170868.86222802667,0.0,0.0,170868.86222802667
IN,Coal,2769354.021112812,138467.70105564062,138467.70105564062,2630886.3200571714
IN,Gas,123432.07079859498,0.0,0.0,123432.07079859498
IN,Hydro,279695.12861747766,7401.282866568302,7401.282866568302,272293.84575090936
