site,year,eta_total,eta_elec_plants,eta_chp_total,eta_coal,eta_mgas,eta_peat,eta_oilshale,eta_gas,eta_oil,eta_bio,eta_waste,eta_coal_el,eta_mgas_el,eta_peat_el,eta_oilshale_el,eta_gas_el,eta_oil_el,eta_bio_el,eta_waste_el,fuel_in_PJ,elec_out_TWh,heat_out_PJ,flags,step0_decision,arbitrated_decision
PL,Y22,0.416,0.335,0.393,0.384,0.528,,,0.665,0.661,0.603,0.61,0.262,0.213,,,0.367,0.395,0.33,0.22,1971.4,148.58,285.6,,UNSD,UNSD
PL,Y23,0.442,0.361,0.419,0.401,0.549,,,0.656,0.647,0.601,0.639,0.264,0.215,,,0.393,0.396,0.331,0.23,1647.0,127.85,267.9,,UNSD,UNSD
PM,Y21,0.463,0.346,0.484,,,,,,0.463,,,,,,,,0.376,,,0.5,0.05,0.0,,UNSD,UNSD
PM,Y22,0.497,0.404,0.514,,,,,,0.497,,,,,,,,0.392,,,0.5,0.05,0.0,,UNSD,UNSD
PM,Y23,0.455,0.363,0.472,,,,,,0.455,,,,,,,,0.364,,,0.5,0.05,0.0,,UNSD,UNSD
PS,Y21,0.398,0.398,,,,,,,0.398,,,,,,,,0.398,,,6.3,0.69,0.0,,UNSD,UNSD
PS,Y22,0.4,0.4,,,,,,,0.4,,,,,,,,0.4,,,6.1,0.68,0.0,,UNSD,UNSD
PS,Y23,0.389,0.389,,,,,,,0.389,,,,,,,,0.389,,,5.2,0.56,0.0,,UNSD,UNSD
PT,Y21,0.478,0.432,0.558,0.355,,,,0.557,0.433,0.315,0.251,0.355,,,,0.43,0.415,0.315,0.251,199.9,21.89,16.7,,UNSD,UNSD
PT,Y22,0.475,0.447,0.542,,,,,0.544,0.446,0.314,0.221,,,,,0.461,0.433,0.314,0.221,198.9,23.01,11.5,,UNSD,UNSD
PT,Y23,0.454,0.42,0.522,,,,,0.553,0.417,0.303,0.232,,,,,0.44,0.412,0.303,0.232,145.5,15.66,9.7,,UNSD,UNSD
PW,Y21,0.346,0.346,,,,,,,0.346,,,,,,,,0.346,,,1.0,0.09,0.0,,,
PW,Y22,0.339,0.339,,,,,,,0.339,,,,,,,,0.339,,,1.0,0.09,0.0,,,
PW,Y23,0.316,0.316,,,,,,,0.316,,,,,,,,0.316,,,1.1,0.09,0.0,,,
PY,Y21,0.607,0.313,0.612,,,,,,0.313,0.905,,,,,,,0.313,0.905,,1.4,0.23,0.0,,UNSD,UNSD
PY,Y22,0.609,0.314,0.612,,,,,,0.314,0.905,,,,,,,0.314,0.905,,1.4,0.23,0.0,,UNSD,UNSD
PY,Y23,0.609,0.305,0.612,,,,,,0.305,0.905,,,,,,,0.305,0.905,,1.4,0.23,0.0,,UNSD,UNSD
QA,Y21,0.382,0.382,,,,,,0.382,,,,,,,,0.382,,,,487.1,51.64,0.0,,UNSD,UNSD
QA,Y22,0.38,0.38,,,,,,0.38,,,,,,,,0.38,,,,512.5,54.03,0.0,,UNSD,UNSD
QA,Y23,0.381,0.381,,,,,,0.381,,,,,,,,0.381,,,,513.1,54.37,0.0,,UNSD,UNSD
RO,Y21,0.398,0.252,0.634,0.227,0.374,,,0.668,0.55,0.607,0.742,0.183,0.24,,,0.296,0.272,0.234,0.007,353.5,22.16,61.0,,UNSD,UNSD
RO,Y22,0.366,0.239,0.573,0.216,0.37,,,0.616,0.633,0.581,0.911,0.171,0.234,,,0.3,0.395,0.246,0.002,351.4,21.57,51.0,,UNSD,UNSD
