site,decision,year,tvd,dtot,unsd_twh,ember_twh,chp_share_of_thermal,autoproducer_share,years_compared
CK,EMBER,Y22,0.3086,0.0622,0.04,0.04,0.0,0.172,Y21:tvd=0.289;Y22:tvd=0.309
CL,UNSD,Y23,0.0356,0.0303,90.32,87.67,0.148,0.081,Y21:tvd=0.010;Y22:tvd=0.004;Y23:tvd=0.036
CM,REVIEW,Y23,0.1245,0.0218,8.15,8.33,0.0,0.234,Y21:tvd=0.044;Y22:tvd=0.049;Y23:tvd=0.124
CN,UNSD,Y23,0.0184,0.0035,9423.44,9456.45,0.0,0.047,Y21:tvd=0.017;Y22:tvd=0.018;Y23:tvd=0.018
CO,UNSD,Y23,0.0421,0.0127,89.27,90.42,0.0,0.12,Y21:tvd=0.033;Y22:tvd=0.016;Y23:tvd=0.042
CR,REVIEW,Y23,0.0543,0.0314,12.08,11.71,0.076,0.011,Y21:tvd=0.013;Y22:tvd=0.020;Y23:tvd=0.054
CU,UNSD,Y23,0.0442,0.016,15.53,15.29,0.0,0.04,Y21:tvd=0.031;Y22:tvd=0.024;Y23:tvd=0.044
CV,REVIEW,Y22,0.0981,0.0874,0.54,0.5,0.0,0.001,Y21:tvd=0.010;Y22:tvd=0.098
CY,UNSD,Y23,0.004,0.0036,5.33,5.31,0.013,0.078,Y21:tvd=0.001;Y22:tvd=0.001;Y23:tvd=0.004
CZ,UNSD,Y23,0.0019,0.0017,75.94,75.81,0.35,0.103,Y21:tvd=0.002;Y22:tvd=0.002;Y23:tvd=0.002
DE,UNSD,Y23,0.0163,0.0055,506.44,503.69,0.395,0.093,Y21:tvd=0.011;Y22:tvd=0.008;Y23:tvd=0.016
DJ,REVIEW,Y23,0.1132,0.2198,0.24,0.2,0.0,0.002,Y21:tvd=0.007;Y22:tvd=0.114;Y23:tvd=0.113
DK,UNSD,Y23,0.0102,0.0081,33.73,34.01,0.999,0.161,Y21:tvd=0.004;Y22:tvd=0.008;Y23:tvd=0.010
DM,UNSD,Y23,0.011,0.0438,0.16,0.15,0.0,0.303,Y21:tvd=0.011;Y22:tvd=0.032;Y23:tvd=0.011
DO,REVIEW,Y23,0.0889,0.0065,24.4,24.56,0.011,0.081,Y21:tvd=0.039;Y22:tvd=0.091;Y23:tvd=0.089
DZ,UNSD,Y23,0.0032,0.007,95.63,96.3,0.0,0.059,Y21:tvd=0.006;Y22:tvd=0.003;Y23:tvd=0.003
EC,UNSD,Y23,0.0462,0.0448,35.68,34.15,0.0,0.173,Y21:tvd=0.016;Y22:tvd=0.010;Y23:tvd=0.046
EE,UNSD,Y23,0.0162,0.0179,5.75,5.85,0.262,0.025,Y21:tvd=0.001;Y22:tvd=0.001;Y23:tvd=0.016
EG,UNSD,Y23,0.0151,0.0243,216.54,221.92,0.0,0.026,Y21:tvd=0.044;Y22:tvd=0.051;Y23:tvd=0.015
ER,UNSD,Y23,0.0156,0.1029,0.49,0.44,0.0,0.074,Y21:tvd=0.009;Y22:tvd=0.010;Y23:tvd=0.016
ES,UNSD,Y23,0.0028,0.0002,279.77,279.84,0.258,0.12,Y21:tvd=0.001;Y22:tvd=0.003;Y23:tvd=0.003
ET,UNSD,Y23,0.003,0.1245,20.53,18.26,0.0,0.002,Y21:tvd=0.016;Y22:tvd=0.004;Y23:tvd=0.003
FI,UNSD,Y23,0.0039,0.0049,81.54,81.14,0.984,0.126,Y21:tvd=0.000;Y22:tvd=0.000;Y23:tvd=0.004
FJ,REVIEW,Y23,0.1164,0.0069,1.16,1.15,0.041,0.066,Y21:tvd=0.055;Y22:tvd=0.025;Y23:tvd=0.116
FK,EMBER|dtot,Y22,0.251,0.9225,0.02,0.01,0.0,0.005,Y21:tvd=0.244;Y22:tvd=0.251
FO,REVIEW,Y22,0.0639,0.0957,0.43,0.48,0.0,0.0,Y21:tvd=0.026;Y22:tvd=0.064
FR,UNSD,Y23,0.0097,0.0095,521.75,516.86,0.433,0.041,Y21:tvd=0.002;Y22:tvd=0.004;Y23:tvd=0.010
GA,UNSD,Y23,0.0148,0.0161,3.14,3.19,0.0,0.069,Y21:tvd=0.025;Y22:tvd=0.185;Y23:tvd=0.015
GB,UNSD,Y23,0.0057,0.0033,291.57,292.53,0.224,0.235,Y21:tvd=0.006;Y22:tvd=0.006;Y23:tvd=0.006
GD,UNSD,Y22,0.0172,0.0493,0.25,0.24,0.0,0.028,Y21:tvd=0.020;Y22:tvd=0.017
GE,UNSD,Y23,0.0004,0.0003,14.4,14.4,0.0,0.0,Y21:tvd=0.000;Y22:tvd=0.000;Y23:tvd=0.000
GH,UNSD,Y23,0.0027,0.0011,24.26,24.29,0.0,0.0,Y21:tvd=0.008;Y22:tvd=0.005;Y23:tvd=0.003
GI,EMBER,Y23,0.1903,0.0508,0.23,0.22,0.0,0.0,Y21:tvd=0.191;Y22:tvd=0.190;Y23:tvd=0.190
GL,REVIEW,Y22,0.1112,0.1382,0.61,0.54,1.0,0.0,Y21:tvd=0.084;Y22:tvd=0.111
GM,UNSD|dtot,Y23,0.0092,0.3442,0.69,0.51,0.0,0.058,Y21:tvd=0.012;Y22:tvd=0.011;Y23:tvd=0.009
GN,EMBER,Y23,0.1642,0.1951,3.26,4.05,0.0,0.0,Y21:tvd=0.143;Y22:tvd=0.163;Y23:tvd=0.164
GQ,UNSD|dtot,Y23,0.0353,0.3579,1.01,1.57,0.0,0.0,Y21:tvd=0.109;Y22:tvd=0.116;Y23:tvd=0.035
